SampleID,populations
PR0120-C_maj,Bangladesh 
PR0125-C_maj,Bangladesh 
PR0126-C,Bangladesh 
PR0128-C_maj,Bangladesh 
PR0130-C,Bangladesh 
PR0131-C_maj,Bangladesh 
PR0132-C_maj,Bangladesh 
PR0138-C_maj,Bangladesh 
PR0141-C_maj,Bangladesh 
PR0145-C,Bangladesh 
PR0148-C_maj,Bangladesh 
PR0153-C_maj,Bangladesh 
PR0154-C,Bangladesh 
PR0155-C,Bangladesh 
PR0156-C_maj,Bangladesh 
PR0157-C_maj,Bangladesh 
PR0158-C_maj,Bangladesh 
PR0159-C,Bangladesh 
PR0160-C_maj,Bangladesh 
PR0163-C,Bangladesh 
PR0164-C,Bangladesh 
PR0166-C_maj,Bangladesh 
PT0002-CW_maj,Malawi
PT0007-CW_maj,Malawi
PT0008-CW_maj,Malawi
PT0009-CW_maj,Malawi
PT0014-CW_maj,Malawi
PT0018-CW_maj,Malawi
PT0021-CW_maj,Malawi
PT0023-CW_maj,Malawi
PT0027-C_maj,Malawi
PT0031-C_maj,Malawi
PT0032-C_maj,Malawi
PT0034-C_maj,Malawi
PT0035-C_maj,Malawi
PT0040-C_maj,Malawi
PT0041-C_maj,Malawi
PT0042-C_maj,Malawi
PT0048-C_maj,Malawi
PT0052-C_maj,Malawi
PT0058-C_maj,Malawi
PT0059-C_maj,Malawi
PT0060-C_maj,Malawi
PT0063-C_maj,Malawi
PT0066-C_maj,Malawi
PT0068-C_maj,Malawi
PT0070-C_maj,Malawi
PT0073-C_maj,Malawi
PT0079-C_maj,Malawi
PT0080-C_maj,Malawi
PT0084-C_maj,Malawi
PT0086-C_maj,Malawi
PT0088-C_maj,Malawi
PT0095-C_maj,Malawi
PT0098-C_maj,Malawi
PT0101-C_maj,Malawi
PT0105-C_maj,Malawi
PT0106-C_maj,Malawi
PT0109-C_maj,Malawi
PT0118-C_maj,Malawi
PT0120-C,Malawi
PT0126-C_maj,Malawi
PT0129-C_maj,Malawi
PT0131-C_maj,Malawi
PT0133-C_maj,Malawi
PT0134-C_maj,Malawi
PT0135-C_maj,Malawi
PT0137-C_maj,Malawi
PT0145-C_maj,Malawi
PT0146-C_maj,Malawi
PT0149-C_maj,Malawi
PT0156-C_maj,Malawi
PT0158-C,Malawi
PT0165-C,Malawi
PT0166-C_maj,Malawi
PT0168-C_maj,Malawi
PT0169-C_maj,Malawi
PT0170-C_maj,Malawi
PT0173-C_maj,Malawi
PT0174-C,Malawi
PT0176-C_maj,Malawi
PT0177-C_maj,Malawi
PT0178-C_maj,Malawi
PT0181-C_maj,Malawi
PT0183-C_maj,Malawi
PT0184-C_maj,Malawi
PT0187-C_maj,Malawi
PT0187-Cx_maj,Malawi
PT0189-C_maj,Malawi
PT0189-Cx_maj,Malawi
PT0195-C_maj,Malawi
PT0195-Cx_maj,Malawi
PT0197-C_maj,Malawi
PT0197-Cx_maj,Malawi
PT0199-C_maj,Malawi
PT0199-Cx_maj,Malawi
PT0200-C_maj,Malawi
PT0200-Cx_maj,Malawi
PT0204-C_maj,Malawi
PT0204-Cx_maj,Malawi
PT0206-C_maj,Malawi
PT0206-Cx_maj,Malawi
PT0213-C_maj,Malawi
PT0213-Cx_maj,Malawi
PT0214-C_maj,Malawi
PT0214-Cx_maj,Malawi
PT0215-C,Malawi
PT0215-Cx_maj,Malawi
PT0217-C_maj,Malawi
PT0217-Cx_maj,Malawi
PT0218-C_maj,Malawi
PT0218-Cx_maj,Malawi
PT0219-C,Malawi
PT0219-Cx,Malawi
PT0220-C_maj,Malawi
PT0220-Cx_maj,Malawi
PT0222-C,Malawi
PT0222-Cx,Malawi
PT0224-C_maj,Malawi
PT0224-Cx,Malawi
PT0225-C_maj,Malawi
PT0225-Cx,Malawi
PT0226-C_maj,Malawi
PT0226-Cx_maj,Malawi
PT0230-C_maj,Malawi
PT0230-Cx_maj,Malawi
PT0234-C,Malawi
PT0234-Cx_maj,Malawi
PT0240-C_maj,Malawi
PT0240-Cx,Malawi
PT0242-C_maj,Malawi
PT0242-Cx_maj,Malawi
PT0248-C_maj,Malawi
PT0248-Cx_maj,Malawi
PT0253-C_maj,Malawi
PT0253-Cx_maj,Malawi
PT0255-C_maj,Malawi
PT0255-Cx_maj,Malawi
PT0256-C_maj,Malawi
PT0256-Cx_maj,Malawi
PT0258-C_maj,Malawi
PT0258-Cx_maj,Malawi
PT0261-C_maj,Malawi
PT0261-Cx_maj,Malawi
PT0262-C,Malawi
PT0262-Cx,Malawi
PT0263-C_maj,Malawi
PT0263-Cx,Malawi
PT0264-C_maj,Malawi
PT0264-Cx_maj,Malawi
PT0269-C_maj,Malawi
PT0270-C_maj,Malawi
PT0270-Cx,Malawi
PT0281-C_maj,Malawi
PT0286-C_maj,Malawi
PT0287-C_maj,Malawi
PT0291-C_maj,Malawi
PT0291-Cx_maj,Malawi
PT0294-C_maj,Malawi
PT0294-Cx_maj,Malawi
PT0302-C_maj,Malawi
PT0302-Cx_maj,Malawi
PT0303-C_maj,Malawi
PT0303-Cx_maj,Malawi
PV0243-Cx2_maj,Viet
PV0245-Cx2,Viet
PV0246-C,Viet
PV0247-Cx2,Viet
PV0249-Cx,Viet
PV0251-C,Viet
PV0253-C_maj,Viet
PV0254-C,Viet
PV0258-C_maj,Viet
PV0259-C,Viet
PV0261-C,Viet
PV0262-C,Viet
PV0265-C,Viet
PV0266-C_maj,Viet
PV0267-C,Viet
PV0269-C,Viet
PV0270-C,Viet
PV0271-C_maj,Viet
PV0272-C,Viet
PV0273-C_maj,Viet
PV0274-C,Viet
PV0277-C,Viet
PV0278-C,Viet
PV0279-C,Viet
PV0280-C,Viet
PV0282-C,Viet
PV0283-C,Viet
PV0284-C,Viet
PV0285-C,Viet
PV0286-C,Viet
PV0287-C,Viet
PV0288-C,Viet
PV0289-C,Viet
PV0290-C_maj,Viet
PV0291-C_maj,Viet
PV0292-C,Viet
PV0295-C_maj,Viet
PV0296-C,Viet
PV0297-C,Viet
PV0298-C,Viet
PV0299-C,Viet
PV0300-C_maj,Viet
PV0301-C,Viet
PV0302-C,Viet
PV0304-C,Viet
PV0305-C,Viet
PV0306-C,Viet
PV0308-Cx,Viet
PV0309-C,Viet
PV0310-C,Viet
PV0311-C,Viet
PV0312-C,Viet
PV0313-C,Viet
PV0314-C,Viet
PV0315-Cx,Viet
PV0317-C,Viet
PV0318-C,Viet
PV0319-C,Viet
PV0320-C,Viet
PV0321-C,Viet
PV0322-C_maj,Viet
PV0324-C,Viet
PV0325-C,Viet
PV0326-C,Viet
PV0328-C,Viet
PV0329-C,Viet
PV0330-C,Viet
PV0331-Cx,Viet
PV0333-C_maj,Viet
PV0335-C_maj,Viet
PV0336-C_maj,Viet
PV0339-C,Viet
PV0340-C,Viet
PV0343-C,Viet
PV0344-C,Viet
PV0345-C,Viet
PV0347-C,Viet
PV0355-C,Viet
PV0358-C_maj,Viet
QC0165-C,Myanmar 
QC0166-C,Myanmar 
QC0168-C,Myanmar 
QC0169-C_maj,Myanmar 
QC0170-C,Myanmar 
QC0171-C,Myanmar 
QC0172-C,Myanmar 
QC0173-C,Myanmar 
QC0175-C,Myanmar 
QC0176-C,Myanmar 
QC0177-C,Myanmar 
QC0178-C,Myanmar 
QC0180-C,Myanmar 
QC0182-C,Myanmar 
QC0183-C,Myanmar 
QC0184-C,Myanmar 
QC0185-C,Myanmar 
QC0187-C,Myanmar 
QC0188-C,Myanmar 
QC0189-C,Myanmar 
QC0193-C,Myanmar 
QC0194-C_maj,Myanmar 
QC0195-C,Myanmar 
QC0196-C,Myanmar 
QC0198-C,Myanmar 
QC0201-C,Myanmar 
QC0204-C,Myanmar 
QC0205-C,Myanmar 
QC0206-C,Myanmar 
QC0207-C,Myanmar 
QC0209-C_maj,Myanmar 
QC0210-C_maj,Myanmar 
QC0211-C,Myanmar 
QC0213-C,Myanmar 
QC0214-C,Myanmar 
QC0215-C,Myanmar 
QC0219-C,Myanmar 
QC0220-C,Myanmar 
QC0221-C,Myanmar 
QC0222-C,Myanmar 
QC0223-C,Myanmar 
QC0225-C,Myanmar 
QC0227-C,Myanmar 
QC0228-C,Myanmar 
QC0230-C,Myanmar 
QC0231-C,Myanmar 
QC0232-C,Myanmar 
QC0235-C,Myanmar 
QC0239-C,Myanmar 
QC0242-C,Myanmar 
QE0392-C_maj,Laos 
QE0393-Cx,Laos 
QE0395-C,Laos 
QE0397-C,Laos 
QE0398-C,Laos 
QE0399-C_maj,Laos 
QE0400-C,Laos 
QE0401-C,Laos 
QE0403-Cx,Laos 
QE0404-C,Laos 
QE0405-Cx,Laos 
QE0409-C_maj,Laos 
QE0414-C,Laos 
QE0415-C_maj,Laos 
QE0417-C_maj,Laos 
QE0418-C,Laos 
QE0419-C,Laos 
QE0423-C,Laos 
QE0424-C_maj,Laos 
QE0426-C,Laos 
QE0429-C,Laos 
QE0430-C,Laos 
QE0431-C,Laos 
QE0432-C,Laos 
QE0433-C,Laos 
QE0434-C,Laos 
QE0436-C,Laos 
QE0437-C,Laos 
QE0438-C,Laos 
QE0440-C,Laos 
QE0443-C,Laos 
QE0444-C,Laos 
QE0447-C_maj,Laos 
QE0448-C,Laos 
QE0449-C,Laos 
QE0451-C,Laos 
QE0452-C_maj,Laos 
QE0454-C,Laos 
QE0455-C,Laos 
QE0456-C,Laos 
QE0457-C,Laos 
QE0458-C,Laos 
QE0459-C,Laos 
QE0460-C,Laos 
QE0461-C,Laos 
QE0463-C,Laos 
QE0464-C,Laos 
QE0465-C,Laos 
QE0466-C_maj,Laos 
QE0468-C,Laos 
QE0469-C_maj,Laos 
QE0470-C_maj,Laos 
QE0471-C,Laos 
QE0472-C_maj,Laos 
QE0474-C,Laos 
QE0475-C,Laos 
QE0476-C_maj,Laos 
QE0478-C,Laos 
QG0184-C,DRC
QG0186-C,DRC
QG0190-C_maj,DRC
QG0195-C,DRC
QG0196-C_maj,DRC
QG0200-C,DRC
QG0201-C,DRC
QG0202-C,DRC
QG0204-C_maj,DRC
QG0205-C,DRC
QG0209-C,DRC
QG0210-C,DRC
QG0211-C,DRC
QG0215-C_maj,DRC
QG0216-C,DRC
QG0218-C_maj,DRC
QG0225-C,DRC
QG0228-C,DRC
QG0233-C_maj,DRC
QG0236-C_maj,DRC
QG0239-C,DRC
QG0241-C_maj,DRC
QG0243-C,DRC
QG0245-C,DRC
QG0246-C_maj,DRC
QG0247-C,DRC
QG0249-C,DRC
QG0250-C,DRC
QG0252-C,DRC
QG0255-C,DRC
QG0256-C,DRC
QG0257-C,DRC
QG0258-C,DRC
QG0262-C_maj,DRC
QG0263-C_maj,DRC
QG0265-C,DRC
QG0269-C,DRC
QG0270-C_maj,DRC
QG0275-C,DRC
QG0276-C_maj,DRC
QG0277-C,DRC
QG0281-C,DRC
QG0282-C,DRC
QG0286-C,DRC
QG0287-C,DRC
QG0291-C,DRC
QG0292-C,DRC
QG0295-C,DRC
QG0296-C,DRC
QG0298-C_maj,DRC
QG0299-C,DRC
QG0300-C_maj,DRC
QJ0001-C,Nigeria
QJ0002-C_maj,Nigeria
QJ0003-C,Nigeria
QJ0005-C,Nigeria
SenP005-02,Senegal 
SenP011-02,Senegal 
SenP019-04,Senegal 
SenP027-02,Senegal 
SenP031-01,Senegal 
SenP051-02,Senegal 
SenT002-09,Senegal 
SenT021-09,Senegal 
SenT024-10,Senegal 
SenT025-10,Senegal 
SenT026-10_maj,Senegal 
SenT029-09,Senegal 
SenT032-09,Senegal 
SenT033-09,Senegal 
SenT036-10,Senegal 
SenT045-10_maj,Senegal 
SenT058-10,Senegal 
SenT074-10,Senegal 
SenT081-10,Senegal 
SenT086-09,Senegal 
SenT087-09_maj,Senegal 
SenT090-09_maj,Senegal 
SenT105-07,Senegal 
SenT111-09_maj,Senegal 
SenT112-09,Senegal 
SenT113-09,Senegal 
SenT123-09,Senegal 
SenT127-09,Senegal 
SenT128-09,Senegal 
SenT130-09,Senegal 
SenT135-09,Senegal 
SenT136-09,Senegal 
SenT151-09,Senegal 
SenT165-09,Senegal 
SenT166-09,Senegal 
SenT230-08,Senegal 
SenT231-08,Senegal 
SenT232-08,Senegal 
SenV034-04,Senegal 
SenV035-04,Senegal 
SenV042-05,Senegal 
SenV092-05,Senegal 
SenV092-05,Senegal 
