sample	country	site
PA0249-C	Guinea	Nzerekore

PA0251-C	Guinea	Nzerekore

PA0253-C	Guinea	Nzerekore

PA0254-C	Guinea	Nzerekore

PA0255-C	Guinea	Nzerekore

PA0256-C	Guinea	Nzerekore

PA0257-C	Guinea	Nzerekore

PA0260-C	Guinea	Nzerekore

PA0261-C	Guinea	Nzerekore

PA0262-C	Guinea	Nzerekore

PA0263-C	Guinea	Nzerekore

PA0267-C	Guinea	Nzerekore

PA0269-C	Guinea	Nzerekore

PA0270-C	Guinea	Nzerekore

PD0459-Cx	Thailand	MaeSot

PD0460-C	Thailand	MaeSot

PD0461-C	Thailand	MaeSot

PD0462-C	Thailand	MaeSot

PD0464-C	Thailand	MaeSot

PD0466-C	Thailand	MaeSot

PD0467-C	Thailand	MaeSot

PD0468-C	Thailand	MaeSot

PD0469-C	Thailand	MaeSot

PD0470-C	Thailand	MaeSot

PD0471-C	Thailand	MaeSot

PD0472-C	Thailand	MaeSot

PD0473-C	Thailand	MaeSot

PD0474-C	Thailand	MaeSot

PD0475-C	Thailand	MaeSot

PD0476-C	Thailand	MaeSot

PD0477-C	Thailand	MaeSot

PD0478-C	Thailand	MaeSot

PD0479-C	Thailand	MaeSot

PD0480-C	Thailand	MaeSot

PD0481-C	Thailand	MaeSot

PD0482-C	Thailand	MaeSot

PD0483-C	Thailand	MaeSot

PD0484-C	Thailand	MaeSot

PD0485-C	Thailand	MaeSot

PD0487-C	Thailand	MaeSot

PD0488-C	Thailand	MaeSot

PD0489-C	Thailand	MaeSot

PD0490-C	Thailand	MaeSot

PD0491-C	Thailand	MaeSot

PD0492-C	Thailand	MaeSot

PD0493-C	Thailand	MaeSot

PD0494-C	Thailand	MaeSot

PD0495-C	Thailand	MaeSot

PD0496-C	Thailand	MaeSot

PD0497-C	Thailand	MaeSot

PD0498-C	Thailand	Sisakhet

PD0499-C	Thailand	Sisakhet

PD0500-C	Thailand	Sisakhet

PD0501-C	Thailand	Sisakhet

PD0502-C	Thailand	Sisakhet

PD0503-C	Thailand	Ranong

PD0504-C	Thailand	Ranong

PD0505-C	Thailand	Ranong

PD0506-C	Thailand	Ranong

PD0507-C	Thailand	Ranong

PD0508-C	Thailand	Ranong

PD0509-Cx2	Thailand	Ranong

PD0510-C	Thailand	Ranong

PD0511-C	Thailand	MaeSot

PD0512-C	Thailand	MaeSot

PD0513-C	Thailand	MaeSot

PD0514-C	Thailand	MaeSot

PD0515-C	Thailand	MaeSot

PD0516-C	Thailand	MaeSot

PD0517-C	Thailand	MaeSot

PD0518-C	Thailand	MaeSot

PD0519-C	Thailand	MaeSot

PD0520-C	Thailand	MaeSot

PD0521-C	Thailand	MaeSot

PD0522-C	Thailand	MaeSot

PD0523-C	Thailand	MaeSot

PD0524-C	Thailand	MaeSot

PD0525-C	Thailand	MaeSot

PD0526-C	Thailand	MaeSot

PD0527-C	Thailand	MaeSot

PD0528-C	Thailand	MaeSot

PD0529-C	Thailand	MaeSot

PD0530-C	Thailand	MaeSot

PD0531-C	Thailand	MaeSot

PD0532-C	Thailand	MaeSot

PD0533-C	Thailand	MaeSot

PD0534-C	Thailand	MaeSot

PD0535-C	Thailand	MaeSot

PD0536-C	Thailand	MaeSot

PD0537-C	Thailand	MaeSot

PD0538-C	Thailand	MaeSot

PD0539-C	Thailand	MaeSot

PD0540-C	Thailand	MaeSot

PD0541-C	Thailand	MaeSot

PD0543-C	Thailand	MaeSot

PD0544-C	Thailand	MaeSot

PD0545-C	Thailand	MaeSot

PD0546-C	Thailand	MaeSot

PD0547-C	Thailand	MaeSot

PD0548-C	Thailand	MaeSot

PD0549-C	Thailand	MaeSot

PD0550-C	Thailand	MaeSot

PD0552-C	Thailand	MaeSot

PD0553-C	Thailand	MaeSot

PD0554-C	Thailand	MaeSot

PD0555-C	Thailand	MaeSot

PD0556-C	Thailand	MaeSot

PD0557-C	Thailand	MaeSot

PD0558-C	Thailand	MaeSot

PD0559-C	Thailand	MaeSot

PD0561-C	Thailand	MaeSot

PD0562-C	Thailand	MaeSot

PD0563-C	Thailand	MaeSot

PD0564-C	Thailand	MaeSot

PD0565-C	Thailand	MaeSot

PD0566-C	Thailand	MaeSot

PD0567-C	Thailand	MaeSot

PD0569-C	Thailand	MaeSot

PD0570-C	Thailand	MaeSot

PD0571-C	Thailand	MaeSot

PD0572-C	Thailand	MaeSot

PD0573-C	Thailand	MaeSot

PD0574-C	Thailand	MaeSot

PD0575-C	Thailand	Sisakhet

PD0576-C	Thailand	Sisakhet

PD0577-C	Thailand	Sisakhet

PD0578-C	Thailand	Sisakhet

PD0579-C	Thailand	Sisakhet

PD0580-C	Thailand	Sisakhet

PD0581-C	Thailand	Ranong

PD0582-C	Thailand	Ranong

PD0583-C	Thailand	Ranong

PD0584-C	Thailand	Ranong

PD0585-C	Thailand	Ranong

PD0586-C	Thailand	Ranong

PD0587-C	Thailand	Ranong

PD0589-C	Thailand	Ranong

PD0590-C	Thailand	Ranong

PD0591-C	Thailand	Ranong

PD0592-C	Thailand	Ranong

PD0626-C	Thailand	MaeSot

PD0627-C	Thailand	MaeSot

PD0629-C	Thailand	MaeSot

PD0630-C	Thailand	MaeSot

PD0632-C	Thailand	MaeSot

PD0635-C	Thailand	MaeSot

PD0636-C	Thailand	MaeSot

PD0637-C	Thailand	MaeSot

PD0638-C	Thailand	MaeSot

PD0640-C	Thailand	MaeSot

PD0648-C	Thailand	Ranong

PD0651-C	Thailand	Sisakhet

PD0658-C	Thailand	Sisakhet

PD0659-C	Thailand	Sisakhet

PD0660-C	Thailand	Sisakhet

PD0662-C	Thailand	Sisakhet

PD0663-C	Thailand	Sisakhet

PD0664-C	Thailand	Sisakhet

PD0665-C	Thailand	Sisakhet

PD0667-C	Thailand	Sisakhet

PD0668-C	Thailand	Sisakhet

PD0670-C	Thailand	Sisakhet

PF0004-C	Ghana	Kassena

PF0006-C	Ghana	Kassena

PF0007-C	Ghana	Kassena

PF0008-C	Ghana	Kassena

PF0009-C	Ghana	Kassena

PF0010-C	Ghana	Kassena

PF0011-C	Ghana	Kassena

PF0012-C	Ghana	Kassena

PF0016-C	Ghana	Kassena

PF0020-C	Ghana	Kassena

PF0021-C	Ghana	Kassena

PF0022-C	Ghana	Kassena

PF0024-C	Ghana	Kassena

PF0025-C	Ghana	Kassena

PF0026-C	Ghana	Kassena

PF0027-C	Ghana	Kassena

PF0028-C	Ghana	Kassena

PF0029-C	Ghana	Kassena

PF0030-C	Ghana	Kassena

PF0031-C	Ghana	Kassena

PF0032-C	Ghana	Kassena

PF0033-C	Ghana	Kassena

PF0035-C	Ghana	Kassena

PF0036-C	Ghana	Kassena

PF0037-C	Ghana	Kassena

PF0038-C	Ghana	Kassena

PF0039-C	Ghana	Kassena

PF0040-C	Ghana	Kassena

PF0041-C	Ghana	Kassena

PF0042-C	Ghana	Kassena

PF0043-C	Ghana	Kassena

PF0044-C	Ghana	Kassena

PF0045-C	Ghana	Kassena

PF0046-C	Ghana	Kassena

PF0047-C	Ghana	Kassena

PF0048-C	Ghana	Kassena

PF0049-C	Ghana	Kassena

PF0050-C	Ghana	Kassena

PF0051-C	Ghana	Kassena

PF0052-C	Ghana	Kassena

PF0053-C	Ghana	Kassena

PF0054-C	Ghana	Kassena

PF0055-C	Ghana	Kassena

PF0057-C	Ghana	Kassena

PF0058-C	Ghana	Kassena

PF0062-C	Ghana	Kassena

PF0063-C	Ghana	Kassena

PF0064-C	Ghana	Kassena

PF0065-C	Ghana	Kassena

PF0066-C	Ghana	Kassena

PF0069-C	Ghana	Kassena

PF0073-C	Ghana	Kassena

PF0074-C	Ghana	Kassena

PF0075-C	Ghana	Kassena

PF0077-C	Ghana	Kassena

PF0078-C	Ghana	Kassena

PF0079-C	Ghana	Kassena

PF0080-C	Ghana	Kassena

PF0081-C	Ghana	Kassena

PF0084-C	Ghana	Kassena

PF0085-C	Ghana	Kassena

