sample	country	site
PF0578-Cx	Ghana	Kintampo

PF0579-C	Ghana	Kintampo

PF0579-Cx	Ghana	Kintampo

PF0583-C	Ghana	Kintampo

PF0583-Cx	Ghana	Kintampo

PF0584-C	Ghana	Kintampo

PF0584-Cx	Ghana	Kintampo

PF0587-C	Ghana	Kintampo

PF0590-C	Ghana	Kintampo

PF0590-Cx	Ghana	Kintampo

PF0596-C	Ghana	Kintampo

PF0597-C	Ghana	Kintampo

PF0599-C	Ghana	Kintampo

PF0600-C	Ghana	Kintampo

PF0603-C	Ghana	Kintampo

PF0604-C	Ghana	Kintampo

PF0606-C	Ghana	Kintampo

PF0608-C	Ghana	Kintampo

PF0609-C	Ghana	Kintampo

PF0610-C	Ghana	Kintampo

PF0612-C	Ghana	Kintampo

PF0613-C	Ghana	Kintampo

PF0614-C	Ghana	Kintampo

PF0615-C	Ghana	Kintampo

PF0616-C	Ghana	Kintampo

PF0617-C	Ghana	Kintampo

PF0619-C	Ghana	Kintampo

PF0620-C	Ghana	Kintampo

PF0621-C	Ghana	Kintampo

PF0624-C	Ghana	Kintampo

PF0625-C	Ghana	Kintampo

PF0626-C	Ghana	Kintampo

PF0627-C	Ghana	Kintampo

PF0628-C	Ghana	Kintampo

PF0629-C	Ghana	Kintampo

PF0630-C	Ghana	Kintampo

PF0632-C	Ghana	Kintampo

PF0633-C	Ghana	Kintampo

